obs	sector	hdd	choice	conv_year	house_type	constr_year	nb_rooms	nb_pers	own_rent	surface	age	income	op_cost.1	op_cost.2	op_cost.3	op_cost.4	op_cost.5	op_cost.6	op_cost.7	op_cost.8	op_cost.9	fix_cost.1	fix_cost.2	fix_cost.3	fix_cost.4	fix_cost.5	fix_cost.6	fix_cost.7	fix_cost.8	fix_cost.9	cost_inc1	cost_inc2	cost_inc3	cost_inc4	cost_inc5	cost_inc6	cost_inc7	cost_inc8	cost_inc9	avail.1	avail.2	avail.3	avail.4	avail.5	avail.6	avail.7	avail.8	avail.9
593	4	4.359	7	0	2	9	8	4	1	1.75	4.8	3.25	0	0	1.947568	1.836652	2.193774	2.098156	1.73158	1.268228	1.615742	0	0	1.228413	0.996155	0.981712	0.749454	0.581926	0.588943	0.683768	0	0	3.992342	3.237504	3.190564	2.435725	1.89126	1.914063	2.222248	0	0	1	1	1	1	1	1	1
594	4	4.359	7	5	2	4	5	3	1	1.75	3.2	3.25	0	0	1.514947	1.441626	1.700103	1.638297	1.382855	1.033333	1.295475	0	0	1.200576	0.987673	0.955905	0.743002	0.906357	0.582491	0.677317	0	0	3.901871	3.209936	3.106693	2.414757	2.945659	1.893095	2.20128	0	0	1	1	1	1	1	1	1
595	4	4.359	7	0	2	10	8	4	1	3.25	5.3	7.5	0	0	2.0366	1.925683	2.290229	2.194611	1.821983	1.35098	1.704232	0	0	1.228413	0.996155	0.981712	0.749454	0.581926	0.588943	0.683768	0	0	9.213099	7.471163	7.362839	5.620903	4.364445	4.417069	5.128263	0	0	1	1	1	1	1	1	1
596	4	4.359	7	0	4	10	6	2	1	1.75	5.8	3.75	1.123822	1.134773	1.317955	1.265889	1.489349	1.444465	1.195517	0.880847	1.116849	0.880752	0.865913	1.227059	0.994801	0.981712	0.749454	0.164573	0.588943	0.683768	3.302819	3.247174	4.601472	3.730504	3.68142	2.810452	0.617149	2.208534	2.564132	1	1	1	1	1	1	1	1	1
597	4	4.359	7	0	2	10	5	3	1	1.25	3.8	1.75	0	0	1.422195	1.33752	1.588062	1.515066	1.276869	0.975787	1.201598	0	0	1.226382	0.994124	0.981712	0.749454	0.144671	0.588943	0.683768	0	0	2.146169	1.739717	1.717996	1.311544	0.2531744	1.030649	1.196595	0	0	1	1	1	1	1	1	1
598	4	4.359	7	0	2	10	8	4	1	3.25	4.8	5.5	0	0	1.985777	1.87486	2.237465	2.141847	1.76755	1.294437	1.649272	0	0	1.228413	0.996155	0.981712	0.749454	0.912808	0.588943	0.683768	0	0	6.756272	5.478853	5.399415	4.121996	5.020446	3.239184	3.760726	0	0	1	1	1	1	1	1	1
599	4	4.359	7	0	2	9	8	3	1	1.75	3.8	1.75	0	0	1.776606	1.691931	1.999703	1.926706	1.602674	1.193097	1.50028	0	0	1.202607	0.989703	0.955905	0.743002	0.197925	0.582491	0.677317	0	0	2.104562	1.731981	1.672835	1.300254	0.3463694	1.019359	1.185305	0	0	1	1	1	1	1	1	1
600	4	4.359	7	0	2	9	5	2	1	1.25	4.8	7.5	0	0	1.248546	1.198023	1.408496	1.364942	1.133988	0.842063	1.061007	0	0	1.200576	0.987673	0.955905	0.743002	0.138219	0.582491	0.677317	0	0	9.004318	7.407545	7.169291	5.572516	1.036646	4.368682	5.079876	0	0	1	1	1	1	1	1	1
601	4	4.359	7	0	2	9	7	3	1	1.75	5.3	7.5	0	0	1.766538	1.688232	1.980694	1.913189	1.610624	1.228183	1.515014	0	0	1.20193	0.989026	0.955905	0.743002	0.178023	0.582491	0.677317	0	0	9.014473	7.417698	7.169291	5.572516	1.335176	4.368682	5.079876	0	0	1	1	1	1	1	1	1
602	4	4.359	7	0	2	9	6	4	1	2.25	3.8	5.5	0	0	1.720736	1.609819	1.919111	1.823493	1.536843	1.174518	1.446262	0	0	1.227059	0.994801	0.981712	0.749454	0.164573	0.588943	0.683768	0	0	6.748826	5.471406	5.399415	4.121996	0.9051518	3.239184	3.760726	0	0	1	1	1	1	1	1	1
603	4	4.359	7	5	2	3	8	6	1	1.25	7.2	7.5	0	0	2.166275	2.010204	2.409819	2.278257	1.935959	1.46759	1.818867	0	0	1.228413	0.996155	0.981712	0.749454	0.726534	0.588943	0.683768	0	0	9.213099	7.471163	7.362839	5.620903	5.449004	4.417069	5.128263	0	0	1	1	1	1	1	1	1
604	4	4.359	7	6	2	3	6	2	1	1.25	6.8	4.5	0	0	1.450073	1.401816	1.643109	1.60243	1.332984	0.9643	1.240813	0	0	1.201253	0.98835	0.955905	0.743002	0.906357	0.582491	0.677317	0	0	5.405637	4.447573	4.301574	3.34351	4.078605	2.621209	3.047926	0	0	1	1	1	1	1	1	1
605	4	4.359	7	7	2	2	4	2	1	1.25	2.1	3.75	0.96933	0.984225	1.137752	1.089495	1.274052	1.233374	1.051003	0.801464	0.988618	0.872365	0.859461	1.199899	0.986996	0.955905	0.743002	0.118318	0.582491	0.677317	3.271367	3.22298	4.499621	3.701234	3.584646	2.786258	0.4436907	2.184341	2.539938	1	1	1	1	1	1	1	1	1
606	4	4.359	7	0	2	10	7	2	1	3.25	3.2	7.5	0	0	1.485174	1.441023	1.688532	1.650471	1.353325	0.977733	1.259427	0	0	1.227736	0.995478	0.981712	0.749454	0.184475	0.588943	0.683768	0	0	9.208021	7.466085	7.362839	5.620903	1.383563	4.417069	5.128263	0	0	1	1	1	1	1	1	1
607	4	4.359	7	0	2	10	10	3	1	3.25	3.2	7.5	0	0	2.007516	1.922838	2.279898	2.2069	1.800176	1.286076	1.671651	0	0	1.229767	0.997509	0.981712	0.749454	0.581926	0.588943	0.683768	0	0	9.223252	7.481317	7.362839	5.620903	4.364445	4.417069	5.128263	0	0	1	1	1	1	1	1	1
608	4	4.359	7	0	2	10	9	3	1	1.75	3.2	2.25	0	0	2.039416	1.95474	2.296587	2.22359	1.854565	1.388117	1.737953	0	0	1.203284	0.99038	0.955905	0.743002	0.575474	0.582491	0.677317	0	0	2.707388	2.228356	2.150787	1.671755	1.294817	1.310605	1.523963	0	0	1	1	1	1	1	1	1
609	1	4.435	7	0	2	9	10	4	1	2.25	3.8	7.5	0	0	2.121922	2.009322	2.429557	2.331121	1.89018	1.166909	1.709362	0	0	1.229767	0.997509	0.981712	0.749454	0.244181	0.588943	0.683768	0	0	9.223252	7.481317	7.362839	5.620903	1.831357	4.417069	5.128263	0	0	1	1	1	1	1	1	1
610	1	4.435	7	0	2	10	7	4	1	3.25	4.8	7.5	0	0	1.906997	1.791089	2.198924	2.0875	1.607587	0.993213	1.453994	0	0	1.227736	0.995478	0.981712	0.749454	0.912808	0.588943	0.683768	0	0	9.208021	7.466085	7.362839	5.620903	6.846063	4.417069	5.128263	0	0	1	1	1	1	1	1	1
611	1	4.435	7	0	2	9	7	4	1	1.75	4.8	7.5	0	0	1.885517	1.772918	2.145699	2.047263	1.677829	1.07185	1.526334	0	0	1.20193	0.989026	0.955905	0.743002	0.575474	0.582491	0.677317	0	0	9.014473	7.417698	7.169291	5.572516	4.316058	4.368682	5.079876	0	0	1	1	1	1	1	1	1
612	1	4.435	7	5	2	4	7	5	1	1.75	5.3	5.5	0	0	2.016713	1.88112	2.283109	2.166855	1.801934	1.160705	1.641627	0	0	1.227736	0.995478	0.981712	0.749454	0.912808	0.588943	0.683768	0	0	6.752549	5.47513	5.399415	4.121996	5.020446	3.239184	3.760726	0	0	1	1	1	1	1	1	1
613	1	4.435	7	0	2	10	7	4	1	1.25	6.2	1.75	0	0	1.880587	1.774977	2.131548	2.039222	1.690679	1.118969	1.547751	0	0	1.227736	0.995478	0.981712	0.749454	0.184475	0.588943	0.683768	0	0	2.148538	1.742087	1.717996	1.311544	0.3228313	1.030649	1.196595	0	0	1	1	1	1	1	1	1
614	1	4.435	7	0	2	10	9	4	1	1.75	3.8	7.5	0	0	1.976733	1.864134	2.259426	2.16099	1.755369	1.090035	1.589036	0	0	1.22909	0.996832	0.981712	0.749454	0.224279	0.588943	0.683768	0	0	9.218175	7.47624	7.362839	5.620903	1.682092	4.417069	5.128263	0	0	1	1	1	1	1	1	1
615	1	4.435	7	5	2	3	6	4	1	1.25	4.8	3.75	0	0	1.841196	1.7332	2.078022	1.985429	1.671895	1.120963	1.534162	0	0	1.201253	0.98835	0.955905	0.743002	0.575474	0.582491	0.677317	0	0	4.504698	3.706311	3.584646	2.786258	2.158029	2.184341	2.539938	0	0	1	1	1	1	1	1	1
616	1	4.435	7	8	2	7	8	1	1	2.25	3.8	5.5	1.382347	1.387957	1.603248	1.574475	1.862503	1.837349	1.469905	0.86719	1.319226	0.880752	0.865913	1.228413	0.996155	0.981712	0.749454	0.912808	0.588943	0.683768	4.844134	4.762521	6.756272	5.478853	5.399415	4.121996	5.020446	3.239184	3.760726	1	1	1	1	1	1	1	1	1
617	1	4.435	7	5	2	3	4	4	1	0.8	5.3	2.75	1.169945	1.200396	1.434672	1.326677	1.612585	1.519993	1.27949	0.856887	1.17384	0.880752	0.865913	1.225705	0.993447	0.981712	0.749454	0.124769	0.588943	0.683768	2.422067	2.38126	3.37069	2.73198	2.699708	2.060998	0.3431151	1.619592	1.880363	1	1	1	1	1	1	1	1	1
618	1	4.435	7	0	2	11	8	4	1	1.75	5.8	5.5	0	0	1.887322	1.78171	2.155397	2.063069	1.680236	1.052279	1.523247	0	0	1.228413	0.996155	0.981712	0.749454	0.204377	0.588943	0.683768	0	0	6.756272	5.478853	5.399415	4.121996	1.124073	3.239184	3.760726	0	0	1	1	1	1	1	1	1
619	1	4.435	7	0	13	11	4	3	2	0.8	2.1	2.75	0.929702	0.946046	1.108134	1.024309	1.239939	1.166658	0.986275	0.690395	0.912305	0.859461	0.846558	1.103125	0.974092	0.859131	0.730099	0.707179	0.569588	0.664414	2.363519	2.328035	3.033593	2.678754	2.362611	2.007772	1.944742	1.566366	1.827137	1	1	1	1	1	1	1	1	1
620	1	4.435	7	0	2	10	7	5	1	0.8	3.8	3.25	1.651976	1.678177	1.969519	1.835134	2.218785	2.101305	1.755336	1.187846	1.613463	0.880752	0.865913	1.227736	0.995478	0.981712	0.749454	0.184475	0.588943	0.683768	2.862443	2.814217	3.990143	3.235304	3.190564	2.435725	0.5995438	1.914063	2.222248	1	1	1	1	1	1	1	1	1
621	1	4.435	7	0	2	11	6	4	1	2.25	3.8	7.5	1.446813	1.467074	1.71987	1.615951	1.948276	1.857428	1.538256	1.014723	1.407373	0.880752	0.865913	1.227059	0.994801	0.981712	0.749454	0.164573	0.588943	0.683768	6.605637	6.494347	9.202944	7.461009	7.362839	5.620903	1.234298	4.417069	5.128263	1	1	1	1	1	1	1	1	1
622	1	4.435	7	6	2	4	3	2	1	1.25	2.8	4.5	0	0	1.017033	0.972555	1.155298	1.117164	0.934909	0.614655	0.854845	0	0	1.199222	0.986319	0.955905	0.743002	0.098416	0.582491	0.677317	0	0	5.396499	4.438434	4.301574	3.34351	0.44287	2.621209	3.047926	0	0	1	1	1	1	1	1	1
623	1	4.435	7	0	2	9	5	3	1	0.8	5.3	2.75	0	0	1.623514	1.539689	1.828134	1.754853	1.481268	1.03251	1.369078	0	0	1.226382	0.994124	0.981712	0.749454	0.144671	0.588943	0.683768	0	0	3.372551	2.733842	2.699708	2.060998	0.3978455	1.619592	1.880363	0	0	1	1	1	1	1	1	1
624	1	4.435	7	0	2	12	8	2	1	3.25	4.8	7.5	0	0	1.717363	1.66231	1.990478	1.942349	1.549289	0.904556	1.388106	0	0	1.228413	0.996155	0.981712	0.749454	0.912808	0.588943	0.683768	0	0	9.213099	7.471163	7.362839	5.620903	6.846063	4.417069	5.128263	0	0	1	1	1	1	1	1	1
625	1	4.435	7	0	2	10	5	4	1	1.25	5.3	2.75	0	0	1.585429	1.472831	1.787753	1.689318	1.405787	0.940714	1.289519	0	0	1.226382	0.994124	0.981712	0.749454	0.144671	0.588943	0.683768	0	0	3.372551	2.733842	2.699708	2.060998	0.3978455	1.619592	1.880363	0	0	1	1	1	1	1	1	1
626	1	4.435	7	0	2	11	9	3	1	1.75	3.8	7.5	0	0	1.841369	1.76453	2.117252	2.050078	1.656813	1.011745	1.495546	0	0	1.22909	0.996832	0.981712	0.749454	0.224279	0.588943	0.683768	0	0	9.218175	7.47624	7.362839	5.620903	1.682092	4.417069	5.128263	0	0	1	1	1	1	1	1	1
627	1	4.435	7	0	2	9	7	4	1	3.25	3.8	4.5	0	0	1.880007	1.767408	2.134653	2.036218	1.677515	1.08914	1.530422	0	0	1.227736	0.995478	0.981712	0.749454	0.184475	0.588943	0.683768	0	0	5.524813	4.479651	4.417704	3.372542	0.8301376	2.650241	3.076958	0	0	1	1	1	1	1	1	1
628	1	4.435	7	0	2	9	6	2	1	1.75	5.3	1.25	0	0	1.378106	1.323054	1.585318	1.537192	1.242254	0.758472	1.121309	0	0	1.227059	0.994801	0.981712	0.749454	0.164573	0.588943	0.683768	0	0	1.533824	1.243501	1.22714	0.9368173	0.2057163	0.7361782	0.8547106	0	0	1	1	1	1	1	1	1
629	1	4.435	7	0	2	11	6	3	1	1.75	3.2	4.5	0	0	1.542689	1.458864	1.755093	1.681811	1.383549	0.894313	1.26124	0	0	1.201253	0.98835	0.955905	0.743002	0.158121	0.582491	0.677317	0	0	5.405637	4.447573	4.301574	3.34351	0.7115465	2.621209	3.047926	0	0	1	1	1	1	1	1	1
630	1	4.435	7	0	2	9	8	5	1	2.25	3.2	5.5	0	0	2.155319	2.020933	2.435194	2.317713	1.929225	1.291993	1.769917	0	0	1.202607	0.989703	0.955905	0.743002	0.197925	0.582491	0.677317	0	0	6.614336	5.443369	5.25748	4.086512	1.08859	3.2037	3.725243	0	0	1	1	1	1	1	1	1
631	1	4.435	7	0	2	10	5	3	1	1.25	2.8	5.5	0	0	1.438534	1.363387	1.628486	1.562792	1.302367	0.875196	1.195575	0	0	1.226382	0.994124	0.981712	0.749454	0.144671	0.588943	0.683768	0	0	6.745102	5.467683	5.399415	4.121996	0.795691	3.239184	3.760726	0	0	1	1	1	1	1	1	1
632	1	4.435	7	0	2	10	4	3	1	1.25	4.2	2.75	0	0	1.470763	1.393925	1.651059	1.583887	1.346092	0.956039	1.248579	0	0	1.225705	0.993447	0.981712	0.749454	0.124769	0.588943	0.683768	0	0	3.37069	2.73198	2.699708	2.060998	0.3431151	1.619592	1.880363	0	0	1	1	1	1	1	1	1
633	1	4.435	7	0	2	10	5	4	1	1.25	3.2	2.75	0	0	1.540108	1.434498	1.73687	1.644544	1.370043	0.919783	1.257478	0	0	1.226382	0.994124	0.981712	0.749454	0.144671	0.588943	0.683768	0	0	3.372551	2.733842	2.699708	2.060998	0.3978455	1.619592	1.880363	0	0	1	1	1	1	1	1	1
634	1	4.435	7	0	2	11	6	2	1	1.25	2.8	7.5	0	0	1.428847	1.380781	1.631819	1.589799	1.311586	0.855237	1.197499	0	0	1.227059	0.994801	0.981712	0.749454	0.164573	0.588943	0.683768	0	0	9.202944	7.461009	7.362839	5.620903	1.234298	4.417069	5.128263	0	0	1	1	1	1	1	1	1
635	1	4.435	7	0	2	10	9	4	1	2.25	3.8	5.5	0	0	2.104165	1.991566	2.408154	2.309719	1.874317	1.160133	1.695771	0	0	1.22909	0.996832	0.981712	0.749454	0.912808	0.588943	0.683768	0	0	6.759995	5.482576	5.399415	4.121996	5.020446	3.239184	3.760726	0	0	1	1	1	1	1	1	1
636	1	4.435	7	0	2	11	5	4	1	1.25	2.8	2.75	0	0	1.472134	1.368215	1.664761	1.573914	1.301134	0.853695	1.189274	0	0	1.226382	0.994124	0.981712	0.749454	0.144671	0.588943	0.683768	0	0	3.372551	2.733842	2.699708	2.060998	0.3978455	1.619592	1.880363	0	0	1	1	1	1	1	1	1
637	1	4.435	7	0	2	11	8	2	1	1.75	2.8	3.75	1.386808	1.39618	1.632844	1.584778	1.891964	1.849944	1.478925	0.870346	1.32678	0.880752	0.865913	1.228413	0.996155	0.981712	0.749454	0.912808	0.588943	0.683768	3.302819	3.247174	4.606549	3.735581	3.68142	2.810452	3.423031	2.208534	2.564132	1	1	1	1	1	1	1	1	1
638	1	4.435	7	7	2	6	7	3	1	2.25	2.8	2.25	0	0	1.711746	1.634908	1.963343	1.896171	1.538566	0.951991	1.391922	0	0	1.20193	0.989026	0.955905	0.743002	0.906357	0.582491	0.677317	0	0	2.704342	2.22531	2.150787	1.671755	2.039303	1.310605	1.523963	0	0	1	1	1	1	1	1	1
639	1	4.435	7	0	2	9	4	2	1	0.8	6.8	3.25	0	0	1.242825	1.196452	1.41199	1.371451	1.142895	0.767997	1.04917	0	0	1.225705	0.993447	0.981712	0.749454	0.124769	0.588943	0.683768	0	0	3.983542	3.228703	3.190564	2.435725	0.4054997	1.914063	2.222248	0	0	1	1	1	1	1	1	1
640	1	4.435	7	0	2	11	7	3	1	3.25	3.2	5.5	0	0	1.726394	1.642568	1.981405	1.908123	1.542564	0.942943	1.392659	0	0	1.227736	0.995478	0.981712	0.749454	0.581926	0.588943	0.683768	0	0	6.752549	5.47513	5.399415	4.121996	3.200593	3.239184	3.760726	0	0	1	1	1	1	1	1	1
641	1	4.435	7	0	2	9	9	4	1	1.25	3.2	7.5	1.592213	1.614167	1.923966	1.811366	2.200659	2.102223	1.703165	1.048595	1.539523	0.880752	0.865913	1.22909	0.996832	0.981712	0.749454	0.224279	0.588943	0.683768	6.605637	6.494347	9.218175	7.47624	7.362839	5.620903	1.682092	4.417069	5.128263	1	1	1	1	1	1	1	1	1
642	1	4.435	7	7	2	4	6	4	1	1.75	3.8	3.25	0	0	1.830197	1.722202	2.06124	1.968647	1.665703	1.133379	1.532622	0	0	1.201253	0.98835	0.955905	0.743002	0.158121	0.582491	0.677317	0	0	3.904072	3.212136	3.106693	2.414757	0.5138947	1.893095	2.20128	0	0	1	1	1	1	1	1	1
643	1	4.435	7	0	2	9	6	5	1	2.25	3.8	7.5	0	0	2.332701	2.191328	2.592877	2.469287	2.13776	1.593959	2.00181	0	0	1.227059	0.994801	0.981712	0.749454	0.164573	0.588943	0.683768	0	0	9.202944	7.461009	7.362839	5.620903	1.234298	4.417069	5.128263	0	0	1	1	1	1	1	1	1
644	1	4.435	7	0	2	9	5	3	1	1.25	5.8	2.75	0	0	1.409853	1.341695	1.605842	1.546257	1.272931	0.824597	1.160847	0	0	1.226382	0.994124	0.981712	0.749454	0.144671	0.588943	0.683768	0	0	3.372551	2.733842	2.699708	2.060998	0.3978455	1.619592	1.880363	0	0	1	1	1	1	1	1	1
645	1	4.435	7	0	2	9	6	6	1	2.25	3.2	4.5	0	0	1.964944	1.794799	2.205298	2.056555	1.715252	1.155417	1.575293	0	0	1.201253	0.98835	0.955905	0.743002	0.158121	0.582491	0.677317	0	0	5.405637	4.447573	4.301574	3.34351	0.7115465	2.621209	3.047926	0	0	1	1	1	1	1	1	1
646	1	4.435	7	0	2	10	7	3	1	0.3	3.2	5.5	0	0	1.588128	1.504301	1.81474	1.741458	1.41904	0.890181	1.286825	0	0	1.227736	0.995478	0.981712	0.749454	0.184475	0.588943	0.683768	0	0	6.752549	5.47513	5.399415	4.121996	1.014613	3.239184	3.760726	0	0	1	1	1	1	1	1	1
647	1	4.435	7	0	2	10	3	2	1	2.25	4.8	7.5	0	0	1.342648	1.287594	1.514417	1.466288	1.240038	0.868923	1.147259	0	0	1.225028	0.99277	0.981712	0.749454	0.104867	0.588943	0.683768	0	0	9.187713	7.445777	7.362839	5.620903	0.7865038	4.417069	5.128263	0	0	1	1	1	1	1	1	1
648	1	4.435	7	6	2	10	5	5	1	2.25	3.8	2.25	0	0	1.792268	1.65431	2.041515	1.908893	1.500461	0.977595	1.369745	0	0	1.226382	0.994124	0.981712	0.749454	0.912808	0.588943	0.683768	0	0	2.75936	2.236779	2.208852	1.686271	2.053819	1.325121	1.538479	0	0	1	1	1	1	1	1	1
649	1	4.435	7	0	2	10	5	3	1	1.75	4.2	7.5	0	0	1.591626	1.5078	1.794573	1.721291	1.447677	0.998872	1.335476	0	0	1.226382	0.994124	0.981712	0.749454	0.144671	0.588943	0.683768	0	0	9.197867	7.455932	7.362839	5.620903	1.085033	4.417069	5.128263	0	0	1	1	1	1	1	1	1
650	1	4.435	7	0	2	11	7	2	1	1.75	4.8	5.5	1.299407	1.310141	1.524578	1.469525	1.75322	1.705092	1.382161	0.852461	1.249736	0.880752	0.865913	1.227736	0.995478	0.981712	0.749454	0.184475	0.588943	0.683768	4.844134	4.762521	6.752549	5.47513	5.399415	4.121996	1.014613	3.239184	3.760726	1	1	1	1	1	1	1	1	1
651	1	4.435	7	0	2	9	7	2	1	1.75	3.2	7.5	0	0	1.541981	1.486928	1.768182	1.720053	1.404003	0.885589	1.2744	0	0	1.227736	0.995478	0.981712	0.749454	0.184475	0.588943	0.683768	0	0	9.208021	7.466085	7.362839	5.620903	1.383563	4.417069	5.128263	0	0	1	1	1	1	1	1	1
652	1	4.435	7	0	2	10	7	3	1	2.25	3.8	7.5	0	0	1.793081	1.716242	2.038476	1.971302	1.635196	1.083884	1.497368	0	0	1.227736	0.995478	0.981712	0.749454	0.184475	0.588943	0.683768	0	0	9.208021	7.466085	7.362839	5.620903	1.383563	4.417069	5.128263	0	0	1	1	1	1	1	1	1
653	1	4.435	7	0	2	10	4	2	1	1.75	2.8	4.5	0	0	1.324708	1.269655	1.496568	1.44844	1.220061	0.845453	1.126409	0	0	1.225705	0.993447	0.981712	0.749454	0.726534	0.588943	0.683768	0	0	5.515674	4.470513	4.417704	3.372542	3.269402	2.650241	3.076958	0	0	1	1	1	1	1	1	1
654	1	4.435	7	0	2	12	4	2	1	1.25	3.2	4.5	0	0	1.141585	1.086532	1.300218	1.25209	1.030951	0.668219	0.940268	0	0	1.199899	0.986996	0.955905	0.743002	0.118318	0.582491	0.677317	0	0	5.399545	4.441481	4.301574	3.34351	0.5324288	2.621209	3.047926	0	0	1	1	1	1	1	1	1
655	1	4.435	7	7	2	6	6	6	1	1.75	4.2	2.75	0	0	1.976452	1.814988	2.222478	2.081324	1.732834	1.161209	1.589928	0	0	1.227059	0.994801	0.981712	0.749454	0.164573	0.588943	0.683768	0	0	3.374413	2.735703	2.699708	2.060998	0.4525759	1.619592	1.880363	0	0	1	1	1	1	1	1	1
656	1	4.435	7	7	2	4	5	3	1	1.25	2.8	2.25	1.206662	1.226984	1.443779	1.371706	1.641549	1.579755	1.314289	0.847819	1.197671	0.872365	0.859461	1.200576	0.987673	0.955905	0.743002	0.575474	0.582491	0.677317	1.96282	1.933788	2.701296	2.222263	2.150787	1.671755	1.294817	1.310605	1.523963	1	1	1	1	1	1	1	1	1
657	1	4.435	7	6	2	2	5	1	2	0.8	3.8	1.25	0	0	1.105919	1.078323	1.274945	1.251284	1.023249	0.622553	0.923075	0	0	1.200576	0.987673	0.955905	0.743002	0.138219	0.582491	0.677317	0	0	1.50072	1.234591	1.194882	0.9287528	0.1727744	0.7281136	0.8466461	0	0	1	1	1	1	1	1	1
658	1	4.435	7	0	2	10	6	2	1	0.8	2.8	3.25	0	0	1.336828	1.281775	1.543663	1.495536	1.1969	0.707052	1.074438	0	0	1.201253	0.98835	0.955905	0.743002	0.906357	0.582491	0.677317	0	0	3.904072	3.212136	3.106693	2.414757	2.945659	1.893095	2.20128	0	0	1	1	1	1	1	1	1
659	1	4.435	7	0	2	9	7	4	1	0.8	3.2	2.25	1.466345	1.485244	1.73841	1.641479	1.974843	1.890104	1.559071	1.016081	1.423324	0.872365	0.859461	1.20193	0.989026	0.955905	0.743002	0.178023	0.582491	0.677317	1.96282	1.933788	2.704342	2.22531	2.150787	1.671755	0.4005527	1.310605	1.523963	1	1	1	1	1	1	1	1	1
660	1	4.435	7	0	2	10	5	4	1	1.25	4.2	3.25	1.282039	1.303993	1.545507	1.432908	1.743407	1.644972	1.366171	0.908857	1.251843	0.872365	0.859461	1.200576	0.987673	0.955905	0.743002	0.138219	0.582491	0.677317	2.835185	2.793249	3.901871	3.209936	3.106693	2.414757	0.4492133	1.893095	2.20128	1	1	1	1	1	1	1	1	1
661	1	4.435	7	0	2	12	5	2	1	1.25	3.2	3.75	1.05258	1.061622	1.228856	1.182483	1.407659	1.367119	1.11733	0.707604	1.014898	0.880752	0.865913	1.226382	0.994124	0.981712	0.749454	0.144671	0.588943	0.683768	3.302819	3.247174	4.598934	3.727966	3.68142	2.810452	0.5425166	2.208534	2.564132	1	1	1	1	1	1	1	1	1
662	1	4.435	7	0	2	9	5	2	1	0.8	4.2	2.75	0	0	1.283258	1.228206	1.462337	1.41421	1.166572	0.760374	1.065022	0	0	1.200576	0.987673	0.955905	0.743002	0.138219	0.582491	0.677317	0	0	3.301584	2.7161	2.62874	2.043256	0.3801036	1.60185	1.862621	0	0	1	1	1	1	1	1	1
663	1	4.435	7	0	2	10	6	5	1	0.8	7.2	3.25	0	0	1.882589	1.748205	2.118878	2.001397	1.672572	1.133203	1.53773	0	0	1.201253	0.98835	0.955905	0.743002	0.158121	0.582491	0.677317	0	0	3.904072	3.212136	3.106693	2.414757	0.5138947	1.893095	2.20128	0	0	1	1	1	1	1	1	1
664	1	4.435	7	0	2	9	10	2	1	3.25	4.2	3.75	0	0	1.905251	1.850198	2.208304	2.160176	1.726197	1.014346	1.548234	0	0	1.229767	0.997509	0.981712	0.749454	0.244181	0.588943	0.683768	0	0	4.611626	3.740658	3.68142	2.810452	0.9156784	2.208534	2.564132	0	0	1	1	1	1	1	1	1
665	1	4.435	7	5	2	3	7	3	1	1.75	4.8	4.5	0	0	1.647463	1.575389	1.885288	1.823493	1.499772	0.930938	1.357563	0	0	1.20193	0.989026	0.955905	0.743002	0.178023	0.582491	0.677317	0	0	5.408684	4.450619	4.301574	3.34351	0.8011053	2.621209	3.047926	0	0	1	1	1	1	1	1	1
666	1	4.435	7	0	2	11	6	3	1	0.3	2.8	7.5	0	0	1.395597	1.32045	1.592463	1.526768	1.247549	0.78955	1.13305	0	0	1.201253	0.98835	0.955905	0.743002	0.158121	0.582491	0.677317	0	0	9.009396	7.412621	7.169291	5.572516	1.185911	4.368682	5.079876	0	0	1	1	1	1	1	1	1
667	1	4.435	7	0	2	12	4	2	1	1.25	3.2	7.5	0	0	1.226731	1.171677	1.394199	1.34607	1.116071	0.738805	1.021754	0	0	1.199899	0.986996	0.955905	0.743002	0.118318	0.582491	0.677317	0	0	8.999242	7.402467	7.169291	5.572516	0.8873814	4.368682	5.079876	0	0	1	1	1	1	1	1	1
668	1	4.435	7	0	2	9	6	4	1	1.25	3.2	5.5	0	0	1.631008	1.527088	1.847613	1.756765	1.45212	0.952416	1.327194	0	0	1.201253	0.98835	0.955905	0.743002	0.158121	0.582491	0.677317	0	0	6.60689	5.435923	5.25748	4.086512	0.8696679	3.2037	3.725243	0	0	1	1	1	1	1	1	1
669	1	4.435	7	0	13	10	4	2	2	1.25	6.8	2.75	0	0	1.061984	1.006932	1.204268	1.156141	0.959837	0.637843	0.879339	0	0	1.103125	0.974092	0.859131	0.730099	0.105414	0.569588	0.664414	0	0	3.033593	2.678754	2.362611	2.007772	0.2898893	1.566366	1.827137	0	0	1	1	1	1	1	1	1
670	1	4.435	7	0	2	11	4	3	1	0.8	2.8	5.5	0	0	1.217689	1.142542	1.378014	1.31232	1.08861	0.721661	0.996873	0	0	1.225705	0.993447	0.981712	0.749454	0.124769	0.588943	0.683768	0	0	6.741379	5.46396	5.399415	4.121996	0.6862302	3.239184	3.760726	0	0	1	1	1	1	1	1	1
671	1	4.435	7	0	2	10	6	4	1	1.75	2.8	3.25	0	0	1.743796	1.631198	1.977546	1.879111	1.548421	1.005994	1.412814	0	0	1.227059	0.994801	0.981712	0.749454	0.581926	0.588943	0.683768	0	0	3.987942	3.233104	3.190564	2.435725	1.89126	1.914063	2.222248	0	0	1	1	1	1	1	1	1
